0,,64.4060910959,-17.2675227653,1703.62
1,,64.4060884975,-17.2675203346,1703.62
2,,64.4060699735,-17.2675804328,1703.87
3,,64.4060600828,-17.267553946,1703.5
4,,64.4060969632,-17.2675133776,1703.4
5,,64.4060605858,-17.2675340809,1702.98
6,,64.4060615078,-17.2675262857,1703.49
7,,64.406072991,-17.2674784251,1703.71
8,,64.4060595799,-17.2674990445,1703.65
9,,64.406071566,-17.2675241902,1704.12
10,,64.4060569815,-17.2675340809,1703.64
11,,64.4060352724,-17.2677422874,1703.25
12,,64.4059714861,-17.2681348957,1702.03
13,,64.4059125613,-17.2685021069,1701.26
14,,64.4058496132,-17.268895302,1700.05
15,,64.4058365375,-17.2689321823,1699.5
16,,64.4057822227,-17.2692432348,1699.14
17,,64.4057144132,-17.2695448156,1698.33
18,,64.4056849089,-17.2697244398,1696.85
19,,64.4056944642,-17.2697794251,1697.01
20,,64.405706618,-17.2697876394,1696.81
21,,64.4057045225,-17.2697728872,1696.49
22,,64.4056989904,-17.2697803471,1696.67
23,,64.4057048578,-17.2697965242,1696.31
0,45.0,64.4056590088,-17.2699380107,1690.161499
24,,64.4056455139,-17.2700981051,1695.85
25,,64.4055960607,-17.2704535816,1694.88
26,,64.4055614434,-17.2707544919,1694.64
27,,64.4055166841,-17.2711265646,1693.33
28,,64.4054605253,-17.2716127988,1692.34
29,,64.4054193702,-17.272030469,1691.34
30,,64.4053845014,-17.2724493127,1689.98
31,,64.4053814001,-17.2724882048,1689.51
32,,64.4053700007,-17.2725426871,1689.76
33,,64.4053508062,-17.2725565173,1689.62
34,,64.4053547457,-17.2725477163,1689.68
35,,64.4053773768,-17.272511255,1689.68
36,,64.4053573441,-17.2726573516,1689.87
37,,64.4053274207,-17.2729536518,1688.75
38,,64.4053205475,-17.2730207071,1688.63
39,,64.405269837,-17.2735229507,1687.76
1,66.0,64.4052659813,-17.2736070212,1682.603638
40,,64.4051907957,-17.2739806026,1687.51
41,,64.4050763827,-17.2744568624,1686.69
42,,64.4049278554,-17.2749209683,1685.35
43,,64.404814532,-17.2752782889,1683.28
44,,64.4047290366,-17.2755822167,1682.26
45,,64.4046140369,-17.2759408783,1680.66
46,,64.4045209978,-17.2763209976,1680.02
47,,64.4044677727,-17.2765501589,1680.13
48,,64.4044692814,-17.27655611,1679.7
49,,64.4044408668,-17.2766268533,1680.35
50,,64.4044413697,-17.2766381688,1679.58
51,,64.4044285454,-17.2766006179,1679.28
52,,64.4044453092,-17.2766092513,1679.45
53,,64.4044519309,-17.2766036354,1679.13
54,,64.4044603128,-17.2765334789,1679.14
55,,64.4044477399,-17.2765531763,1679.24
56,,64.4044441357,-17.2765468899,1678.23
57,,64.4044669345,-17.276570024,1678.4
58,,64.4044653419,-17.2765592113,1678.95
59,,64.4044448901,-17.2765613068,1678.91
60,,64.4043642562,-17.2768032085,1678.19
61,,64.4043878093,-17.2768048849,1678.89
62,,64.4043567963,-17.2769312002,1678.11
63,,64.404375907,-17.2768848483,1677.87
64,,64.4043697882,-17.2768862732,1678.43
65,,64.4043730572,-17.2768602055,1677.73
66,,64.4043700397,-17.2768475488,1677.38
67,,64.4043743145,-17.2768371552,1677.35
68,,64.4044385199,-17.2765763104,1676.2
69,,64.4044373464,-17.2765917331,1678.96
70,,64.4044551998,-17.276584357,1679.44
71,,64.4044605643,-17.276642276,1679.81
72,,64.4044386037,-17.2766524181,1679.89
73,,64.4043707941,-17.2768809926,1679.71
2,92.0,64.4043350033,-17.2771359701,1674.215332
74,,64.4042688701,-17.2772733495,1679.31
75,,64.4041639287,-17.2777189314,1679.8
76,,64.4040506892,-17.2782090213,1677.61
77,,64.4039577339,-17.2786019649,1675.12
78,,64.4039584883,-17.2786160465,1674.31
79,,64.4039596617,-17.278612107,1674.26
80,,64.4039683789,-17.2787054814,1674.32
81,,64.4039601646,-17.2787188087,1674.32
82,,64.4039657805,-17.2786636557,1673.93
83,,64.4039538782,-17.2786002886,1673.87
84,,64.4039492682,-17.2786204889,1673.03
85,,64.4039798621,-17.2786186449,1673.11
86,,64.4039852265,-17.2786358278,1673.43
87,,64.4039908424,-17.2785351612,1672.2
88,,64.4039937761,-17.2785401065,1672.05
89,,64.4039856456,-17.2785220854,1672.33
90,,64.4039834663,-17.2785155475,1670.85
91,,64.4040034153,-17.2785403579,1671.48
92,,64.4039949495,-17.2785325628,1670.94
93,,64.4039905909,-17.2785247676,1672.34
94,,64.4039880764,-17.2786003724,1672.7
95,,64.4039573148,-17.2786210757,1671.56
96,,64.4039393775,-17.2786582075,1672.57
97,,64.4039388746,-17.2786493227,1672.34
98,,64.4039475918,-17.2785978578,1672.41
99,,64.4039450772,-17.2786282841,1672.52
100,,64.4039454963,-17.2786494065,1672.4
101,,64.4039183389,-17.2785089258,1672.09
102,,64.4039315823,-17.2785800043,1671.76
103,,64.4039273914,-17.2786150407,1672.22
104,,64.4039392099,-17.2786276136,1672.31
105,,64.403960919,-17.2785738017,1672.76
106,,64.4039686304,-17.278542202,1672.21
107,,64.4039398804,-17.278462993,1672.11
108,,64.4039584883,-17.2785499971,1671.98
109,,64.4039622601,-17.2786109336,1672.03
110,,64.4039613381,-17.2786403541,1671.89
111,,64.4039762579,-17.2785931639,1672.65
112,,64.4039668702,-17.2786295414,1671.64
113,,64.4039102923,-17.2788750473,1671.67
114,,64.4037633575,-17.2792766243,1671.15
115,,64.403602425,-17.2795865033,1670.86
116,,64.4034872577,-17.2797877528,1670.65
117,,64.4033549912,-17.2800412215,1670.58
